"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.022575,0.015095,0,-0.056896,1,0.077,0.05,0.077,0.005
0.034515,0.014917,0,-0.057371,1,0.0775,0.05,0.0775,0.005
0.046454,0.014738,0,-0.057845,1,0.078,0.05,0.078,0.005
0.058393,0.014559,0,-0.05832,1,0.0785,0.05,0.0785,0.005
0.070333,0.014381,0,-0.058794,1,0.079,0.05,0.079,0.005
0.082272,0.014202,0,-0.059269,1,0.0795,0.05,0.0795,0.005
0.094212,0.014023,0,-0.059743,1,0.08,0.05,0.08,0.005
0.11044,0.013651,0,-0.059593,1,0.0805,0.05,0.0805,0.005
0.12666,0.013279,0,-0.059442,1,0.081,0.05,0.081,0.005
0.14289,0.012907,0,-0.059292,1,0.0815,0.05,0.0815,0.005
0.15911,0.012534,0,-0.059142,1,0.082,0.05,0.082,0.005
0.17534,0.012162,0,-0.058991,1,0.0825,0.05,0.0825,0.005
0.19156,0.01179,0,-0.058841,1,0.083,0.05,0.083,0.005
0.20779,0.011418,0,-0.05869,1,0.0835,0.05,0.0835,0.005
0.22401,0.011046,0,-0.05854,1,0.084,0.05,0.084,0.005
0.24024,0.010673,0,-0.058389,1,0.0845,0.05,0.0845,0.005
0.25646,0.010301,0,-0.058239,1,0.085,0.05,0.085,0.005
0.27728,0.0098203,0,-0.057531,1,0.0855,0.05,0.0855,0.005
0.2981,0.0093396,0,-0.056823,1,0.086,0.05,0.086,0.005
0.31891,0.0088589,0,-0.056115,1,0.0865,0.05,0.0865,0.005
0.33973,0.0083781,0,-0.055407,1,0.087,0.05,0.087,0.005
0.36055,0.0078974,0,-0.054699,1,0.0875,0.05,0.0875,0.005
0.38137,0.0074167,0,-0.053991,1,0.088,0.05,0.088,0.005
0.40218,0.006936,0,-0.053284,1,0.0885,0.05,0.0885,0.005
0.423,0.0064552,0,-0.052576,1,0.089,0.05,0.089,0.005
0.44382,0.0059745,0,-0.051868,1,0.0895,0.05,0.0895,0.005
0.46463,0.0054938,0,-0.05116,1,0.09,0.05,0.09,0.005
0.48979,0.0051104,0,-0.050119,1,0.0905,0.05,0.0905,0.005
0.51494,0.004727,0,-0.049078,1,0.091,0.05,0.091,0.005
0.5401,0.0043437,0,-0.048038,1,0.0915,0.05,0.0915,0.005
0.56525,0.0039603,0,-0.046997,1,0.092,0.05,0.092,0.005
0.59041,0.003577,0,-0.045956,1,0.0925,0.05,0.0925,0.005
0.61556,0.0031936,0,-0.044916,1,0.093,0.05,0.093,0.005
0.64072,0.0028102,0,-0.043875,1,0.0935,0.05,0.0935,0.005
0.66587,0.0024269,0,-0.042834,1,0.094,0.05,0.094,0.005
0.69103,0.0020435,0,-0.041793,1,0.0945,0.05,0.0945,0.005
0.71618,0.0016601,0,-0.040753,1,0.095,0.05,0.095,0.005
0.74456,0.0014941,0,-0.040185,1,0.0955,0.05,0.0955,0.005
0.77295,0.0013281,0,-0.039618,1,0.096,0.05,0.096,0.005
0.80133,0.0011621,0,-0.03905,1,0.0965,0.05,0.0965,0.005
0.82971,0.00099609,0,-0.038483,1,0.097,0.05,0.097,0.005
0.85809,0.00083007,0,-0.037915,1,0.0975,0.05,0.0975,0.005
0.88647,0.00066406,0,-0.037348,1,0.098,0.05,0.098,0.005
0.91485,0.00049805,0,-0.03678,1,0.0985,0.05,0.0985,0.005
0.94324,0.00033203,0,-0.036213,1,0.099,0.05,0.099,0.005
0.97162,0.00016602,0,-0.035645,1,0.0995,0.05,0.0995,0.005
1,0,0,-0.035078,1,0.1,0.05,0.1,0.005
